"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",2350.17
"Jan 1, 08:00 am",3691.2
"Jan 1, 09:00 am",5009.5
"Jan 1, 10:00 am",6551.79
"Jan 1, 11:00 am",7036.89
"Jan 1, 12:00 pm",7440.24
"Jan 1, 01:00 pm",6685.41
"Jan 1, 02:00 pm",3522.78
"Jan 1, 03:00 pm",7376.48
"Jan 1, 04:00 pm",0
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",5433.35
"Jan 2, 08:00 am",8807.07
"Jan 2, 09:00 am",9480.54
"Jan 2, 10:00 am",9458.12
"Jan 2, 11:00 am",9418.55
"Jan 2, 12:00 pm",9349.31
"Jan 2, 01:00 pm",9265.83
"Jan 2, 02:00 pm",8839.39
"Jan 2, 03:00 pm",7132.05
"Jan 2, 04:00 pm",0
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",5436.79
"Jan 3, 08:00 am",8989.56
"Jan 3, 09:00 am",9627.67
"Jan 3, 10:00 am",9697.14
"Jan 3, 11:00 am",9672.44
"Jan 3, 12:00 pm",9630.63
"Jan 3, 01:00 pm",9561.75
"Jan 3, 02:00 pm",9212.03
"Jan 3, 03:00 pm",7886.11
"Jan 3, 04:00 pm",0
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",5174.13
"Jan 4, 08:00 am",8651.65
"Jan 4, 09:00 am",9258.35
"Jan 4, 10:00 am",9288.28
"Jan 4, 11:00 am",9243.55
"Jan 4, 12:00 pm",9144.72
"Jan 4, 01:00 pm",9045.8
"Jan 4, 02:00 pm",8776.9
"Jan 4, 03:00 pm",7383.21
"Jan 4, 04:00 pm",0
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",4760.69
"Jan 5, 08:00 am",8355.34
"Jan 5, 09:00 am",9146.22
"Jan 5, 10:00 am",9243.43
