"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",0
"Jan 1, 09:00 am",5218.15
"Jan 1, 10:00 am",6926.97
"Jan 1, 11:00 am",7180.3
"Jan 1, 12:00 pm",7117.77
"Jan 1, 01:00 pm",430.229
"Jan 1, 02:00 pm",63.7932
"Jan 1, 03:00 pm",2.10299
"Jan 1, 04:00 pm",0
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",0
"Jan 2, 09:00 am",1.00042
"Jan 2, 10:00 am",6631.11
"Jan 2, 11:00 am",6852.25
"Jan 2, 12:00 pm",6803.92
"Jan 2, 01:00 pm",6740.46
"Jan 2, 02:00 pm",6371.85
"Jan 2, 03:00 pm",5028.37
"Jan 2, 04:00 pm",0
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0
"Jan 3, 09:00 am",0
"Jan 3, 10:00 am",7078.37
"Jan 3, 11:00 am",810.1
"Jan 3, 12:00 pm",7251.19
"Jan 3, 01:00 pm",7311.69
"Jan 3, 02:00 pm",7295.38
"Jan 3, 03:00 pm",6460.98
"Jan 3, 04:00 pm",0
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0
"Jan 4, 09:00 am",5449.09
"Jan 4, 10:00 am",6963.69
"Jan 4, 11:00 am",7121.44
"Jan 4, 12:00 pm",7037.6
"Jan 4, 01:00 pm",7024.8
"Jan 4, 02:00 pm",80.6822
"Jan 4, 03:00 pm",10.7956
"Jan 4, 04:00 pm",0
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",0
"Jan 5, 09:00 am",1291.73
"Jan 5, 10:00 am",2279.1
"Jan 5, 11:00 am",150.069
