"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",5171.9
"Jan 1, 01:00 am",5568.85
"Jan 1, 02:00 am",5402.06
"Jan 1, 03:00 am",5418.72
"Jan 1, 04:00 am",5572.46
"Jan 1, 05:00 am",6008.29
"Jan 1, 06:00 am",6697.72
"Jan 1, 07:00 am",7437.09
"Jan 1, 08:00 am",7188.21
"Jan 1, 09:00 am",7296.83
"Jan 1, 10:00 am",6008.58
"Jan 1, 11:00 am",5395.57
"Jan 1, 12:00 pm",3653.76
"Jan 1, 01:00 pm",3508.84
"Jan 1, 02:00 pm",3997.41
"Jan 1, 03:00 pm",6201.71
"Jan 1, 04:00 pm",6143.65
"Jan 1, 05:00 pm",6018.99
"Jan 1, 06:00 pm",6109.6
"Jan 1, 07:00 pm",6377.52
"Jan 1, 08:00 pm",6412.67
"Jan 1, 09:00 pm",6108.19
"Jan 1, 10:00 pm",6061.59
"Jan 1, 11:00 pm",6239.02
"Jan 2, 12:00 am",6712.33
"Jan 2, 01:00 am",6867.5
"Jan 2, 02:00 am",7107.32
"Jan 2, 03:00 am",8278.2
"Jan 2, 04:00 am",8380.16
"Jan 2, 05:00 am",8194.87
"Jan 2, 06:00 am",7382.99
"Jan 2, 07:00 am",7108.91
"Jan 2, 08:00 am",2640.26
"Jan 2, 09:00 am",8315.12
"Jan 2, 10:00 am",5859.32
"Jan 2, 11:00 am",6972.64
"Jan 2, 12:00 pm",8483.73
"Jan 2, 01:00 pm",8829.3
"Jan 2, 02:00 pm",8155.12
"Jan 2, 03:00 pm",9036.46
"Jan 2, 04:00 pm",8013.33
"Jan 2, 05:00 pm",5572.04
"Jan 2, 06:00 pm",8404.48
"Jan 2, 07:00 pm",4538.75
"Jan 2, 08:00 pm",6355.27
"Jan 2, 09:00 pm",5265.71
"Jan 2, 10:00 pm",5874.73
"Jan 2, 11:00 pm",4164.67
"Jan 3, 12:00 am",1673.84
"Jan 3, 01:00 am",631.183
"Jan 3, 02:00 am",3149.11
"Jan 3, 03:00 am",5575.95
"Jan 3, 04:00 am",5204.48
"Jan 3, 05:00 am",6478.78
"Jan 3, 06:00 am",8264.43
"Jan 3, 07:00 am",8121.87
"Jan 3, 08:00 am",8467.68
"Jan 3, 09:00 am",9608.52
"Jan 3, 10:00 am",9630.39
"Jan 3, 11:00 am",10364.4
"Jan 3, 12:00 pm",9852.25
"Jan 3, 01:00 pm",9311.29
"Jan 3, 02:00 pm",10895
"Jan 3, 03:00 pm",10745.4
"Jan 3, 04:00 pm",10812.6
"Jan 3, 05:00 pm",10946.5
"Jan 3, 06:00 pm",9984.54
"Jan 3, 07:00 pm",10790.3
"Jan 3, 08:00 pm",10985
"Jan 3, 09:00 pm",10561.7
"Jan 3, 10:00 pm",10259.3
"Jan 3, 11:00 pm",7756.64
"Jan 4, 12:00 am",10895.1
"Jan 4, 01:00 am",10933.5
"Jan 4, 02:00 am",9671.69
"Jan 4, 03:00 am",10048.5
"Jan 4, 04:00 am",10410.9
"Jan 4, 05:00 am",10876.8
"Jan 4, 06:00 am",10353.4
"Jan 4, 07:00 am",7174.78
"Jan 4, 08:00 am",7426.77
"Jan 4, 09:00 am",7695.12
"Jan 4, 10:00 am",6938.98
"Jan 4, 11:00 am",758.332
"Jan 4, 12:00 pm",92.6254
"Jan 4, 01:00 pm",0
"Jan 4, 02:00 pm",0
"Jan 4, 03:00 pm",0
"Jan 4, 04:00 pm",0
"Jan 4, 05:00 pm",3.53804
"Jan 4, 06:00 pm",732.279
"Jan 4, 07:00 pm",877.492
"Jan 4, 08:00 pm",1650.91
"Jan 4, 09:00 pm",3991.95
"Jan 4, 10:00 pm",5452.83
"Jan 4, 11:00 pm",6246.13
"Jan 5, 12:00 am",6559.67
"Jan 5, 01:00 am",5790.83
"Jan 5, 02:00 am",6233.1
"Jan 5, 03:00 am",5744.36
"Jan 5, 04:00 am",5282.62
"Jan 5, 05:00 am",4815.77
"Jan 5, 06:00 am",4947.98
