Time stamp,System power generated | (kW)
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",2676.22
"Jan 1, 09:00 am",7615.92
"Jan 1, 10:00 am",9056.47
"Jan 1, 11:00 am",9432.39
"Jan 1, 12:00 pm",9539.87
"Jan 1, 01:00 pm",9472.99
"Jan 1, 02:00 pm",9388.08
"Jan 1, 03:00 pm",8986.31
"Jan 1, 04:00 pm",7475.16
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",3518.89
"Jan 2, 09:00 am",8376.63
"Jan 2, 10:00 am",9363.41
"Jan 2, 11:00 am",9565.53
"Jan 2, 12:00 pm",9322.19
"Jan 2, 01:00 pm",9259.51
"Jan 2, 02:00 pm",9102.32
"Jan 2, 03:00 pm",8598.02
"Jan 2, 04:00 pm",6948.67
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",63.7766
"Jan 3, 09:00 am",1326.23
"Jan 3, 10:00 am",9098.31
"Jan 3, 11:00 am",9234.18
"Jan 3, 12:00 pm",9282.62
"Jan 3, 01:00 pm",9379.1
"Jan 3, 02:00 pm",9337.65
"Jan 3, 03:00 pm",9097.22
"Jan 3, 04:00 pm",7678.44
"Jan 3, 05:00 pm",221.486
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",3387.06
"Jan 4, 09:00 am",8240.44
"Jan 4, 10:00 am",1904.68
"Jan 4, 11:00 am",9664.24
"Jan 4, 12:00 pm",5173.31
"Jan 4, 01:00 pm",5586.2
"Jan 4, 02:00 pm",3614.17
"Jan 4, 03:00 pm",9113.91
"Jan 4, 04:00 pm",7554.04
"Jan 4, 05:00 pm",593.31
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",3837.62
"Jan 5, 09:00 am",8671.48
"Jan 5, 10:00 am",9548.97
