Time stamp,System power generated | (kW),,,,
"Jan 1, 12:00 am",1491.4,,,,
"Jan 1, 01:00 am",1608.75,,,,
"Jan 1, 02:00 am",1633.62,,,,
"Jan 1, 03:00 am",1233.97,,,,
"Jan 1, 04:00 am",531.975,,,,
"Jan 1, 05:00 am",350.471,,,,
"Jan 1, 06:00 am",717.743,,,,
"Jan 1, 07:00 am",237.412,,,,
"Jan 1, 08:00 am",0,,,,
"Jan 1, 09:00 am",0,,,,
"Jan 1, 10:00 am",23.3706,,,,
"Jan 1, 11:00 am",561.896,,,,
"Jan 1, 12:00 pm",396.604,,,,
"Jan 1, 01:00 pm",346.513,,,,
"Jan 1, 02:00 pm",180.239,,,,
"Jan 1, 03:00 pm",168.526,,,,
"Jan 1, 04:00 pm",189.744,,,,
"Jan 1, 05:00 pm",32.0778,,,,
"Jan 1, 06:00 pm",0,,,,
"Jan 1, 07:00 pm",0,,,,
"Jan 1, 08:00 pm",0,,,,
"Jan 1, 09:00 pm",0,,,,
"Jan 1, 10:00 pm",0,,,,
"Jan 1, 11:00 pm",0,,,,
"Jan 2, 12:00 am",455.317,,,,
"Jan 2, 01:00 am",1478.42,,,,
"Jan 2, 02:00 am",1927.45,,,,
"Jan 2, 03:00 am",2504.37,,,,
"Jan 2, 04:00 am",1604.84,,,,
"Jan 2, 05:00 am",1420.77,,,,
"Jan 2, 06:00 am",644.462,,,,
"Jan 2, 07:00 am",1938.64,,,,
"Jan 2, 08:00 am",1837.1,,,,
"Jan 2, 09:00 am",4203.62,,,,
"Jan 2, 10:00 am",2731.84,,,,
"Jan 2, 11:00 am",1696.24,,,,
"Jan 2, 12:00 pm",2376.54,,,,
"Jan 2, 01:00 pm",3790.75,,,,
"Jan 2, 02:00 pm",2045.13,,,,
"Jan 2, 03:00 pm",1326.24,,,,
"Jan 2, 04:00 pm",914.699,,,,
"Jan 2, 05:00 pm",627.249,,,,
"Jan 2, 06:00 pm",2.00505,,,,
"Jan 2, 07:00 pm",818.981,,,,
"Jan 2, 08:00 pm",5.55121,,,,
"Jan 2, 09:00 pm",0,,,,
"Jan 2, 10:00 pm",5.00497,,,,
"Jan 2, 11:00 pm",427.044,,,,
"Jan 3, 12:00 am",1002.61,,,,
"Jan 3, 01:00 am",1091.88,,,,
"Jan 3, 02:00 am",1369.05,,,,
"Jan 3, 03:00 am",1392.19,,,,
"Jan 3, 04:00 am",1422.2,,,,
"Jan 3, 05:00 am",1342.16,,,,
"Jan 3, 06:00 am",1548.89,,,,
"Jan 3, 07:00 am",1776.57,,,,
"Jan 3, 08:00 am",698.059,,,,
"Jan 3, 09:00 am",243.89,,,,
"Jan 3, 10:00 am",0,,,,
"Jan 3, 11:00 am",0,,,,
"Jan 3, 12:00 pm",0,,,,
