"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",0
"Jan 1, 09:00 am",0
"Jan 1, 10:00 am",0
"Jan 1, 11:00 am",0
"Jan 1, 12:00 pm",0
"Jan 1, 01:00 pm",0
"Jan 1, 02:00 pm",0
"Jan 1, 03:00 pm",0
"Jan 1, 04:00 pm",69.5662
"Jan 1, 05:00 pm",6200.04
"Jan 1, 06:00 pm",6762.48
"Jan 1, 07:00 pm",6674.26
"Jan 1, 08:00 pm",6650.12
"Jan 1, 09:00 pm",3475.18
"Jan 1, 10:00 pm",2697.34
"Jan 1, 11:00 pm",1517.59
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",0
"Jan 2, 09:00 am",0
"Jan 2, 10:00 am",0
"Jan 2, 11:00 am",0
"Jan 2, 12:00 pm",0
"Jan 2, 01:00 pm",0
"Jan 2, 02:00 pm",0
"Jan 2, 03:00 pm",0
"Jan 2, 04:00 pm",0
"Jan 2, 05:00 pm",1148.41
"Jan 2, 06:00 pm",3737.65
"Jan 2, 07:00 pm",6658.17
"Jan 2, 08:00 pm",6581.77
"Jan 2, 09:00 pm",6645.28
"Jan 2, 10:00 pm",6515.2
"Jan 2, 11:00 pm",4903.34
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0
"Jan 3, 09:00 am",0
"Jan 3, 10:00 am",0
"Jan 3, 11:00 am",0
"Jan 3, 12:00 pm",0
"Jan 3, 01:00 pm",0
"Jan 3, 02:00 pm",0
"Jan 3, 03:00 pm",0
"Jan 3, 04:00 pm",265.368
"Jan 3, 05:00 pm",6447.46
"Jan 3, 06:00 pm",6804.94
"Jan 3, 07:00 pm",6663.99
"Jan 3, 08:00 pm",6608.13
"Jan 3, 09:00 pm",6672
"Jan 3, 10:00 pm",6461.82
"Jan 3, 11:00 pm",4821.36
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0
"Jan 4, 09:00 am",0
"Jan 4, 10:00 am",0
"Jan 4, 11:00 am",0
"Jan 4, 12:00 pm",0
"Jan 4, 01:00 pm",0
"Jan 4, 02:00 pm",0
"Jan 4, 03:00 pm",0
"Jan 4, 04:00 pm",271.752
"Jan 4, 05:00 pm",5697.7
"Jan 4, 06:00 pm",6320.81
"Jan 4, 07:00 pm",829.996
"Jan 4, 08:00 pm",794.803
"Jan 4, 09:00 pm",6471.58
"Jan 4, 10:00 pm",6117.07
"Jan 4, 11:00 pm",4474.37
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",0
"Jan 5, 09:00 am",0
"Jan 5, 10:00 am",0
"Jan 5, 11:00 am",0
"Jan 5, 12:00 pm",0
