i_e_op,V_cell_op
0.151,1.777
0.155,1.801
0.159,1.823
0.164,1.844
0.169,1.863
0.175,1.881
0.182,1.9
0.19,1.906
0.197,1.924
0.205,1.939
0.213,1.946
0.217,1.958
0.224,1.967
0.232,1.979
0.239,1.989
0.249,1.998
0.258,2.004
0.265,2.013
0.272,2.022
0.281,2.029
0.291,2.044
0.3,2.053
0.308,2.059
0.315,2.065
0.324,2.075
0.334,2.084
0.344,2.09
0.355,2.096
0.362,2.105
0.369,2.112
0.375,2.118
0.381,2.124
0.386,2.133
0.395,2.136
0.401,2.145
0.414,2.155
0.425,2.164
0.431,2.17
0.437,2.176
0.444,2.179
0.452,2.179
0.454,2.185
0.459,2.195
0.472,2.204
0.479,2.21
0.489,2.219
0.496,2.225
0.504,2.231
0.512,2.238
0.521,2.241
0.531,2.25
0.54,2.259
0.55,2.265
0.559,2.268
0.567,2.278
0.577,2.281
0.585,2.29
0.595,2.299
0.606,2.305
0.616,2.308
0.624,2.317
0.631,2.321
0.638,2.327
0.645,2.333
0.654,2.339
0.663,2.342
0.67,2.351
0.679,2.357
0.686,2.361
0.695,2.367
0.7,2.373
0.712,2.382
0.712,2.385
0.721,2.388
0.728,2.391
0.735,2.397
0.747,2.407
0.758,2.416
0.768,2.422
0.776,2.425
0.784,2.431
0.796,2.437
0.806,2.45
0.819,2.456
0.829,2.462
0.841,2.468
0.852,2.477
0.863,2.487
0.876,2.496
0.884,2.499
0.894,2.508
0.902,2.511
0.909,2.517
0.919,2.526
0.929,2.533
0.939,2.539
0.945,2.545
0.954,2.548
0.963,2.548
0.971,2.595
0.979,2.602
0.987,2.608
0.995,2.615
1.003,2.622
1.011,2.629
1.019,2.636
1.027,2.642
1.035,2.649
1.043,2.656
1.052,2.663
1.060,2.670
1.068,2.676
1.076,2.683
1.084,2.690
1.092,2.697
1.100,2.704
1.108,2.710
1.116,2.717
1.124,2.724
1.133,2.731
1.141,2.737
1.149,2.744
1.157,2.751
1.165,2.758
1.173,2.765
1.181,2.771
1.189,2.778
1.197,2.785
1.205,2.792
1.214,2.799
1.222,2.805
1.230,2.812
1.238,2.819
1.246,2.826
1.254,2.833
1.262,2.839
1.270,2.846
1.278,2.853
1.286,2.860
1.295,2.866
1.303,2.873
1.311,2.880
1.319,2.887
1.327,2.894
1.335,2.900
1.343,2.907
1.351,2.914
1.359,2.921
1.367,2.928
1.376,2.934
1.384,2.941
1.392,2.948
1.400,2.955
1.408,2.962
1.416,2.968
1.424,2.975
1.432,2.982
1.440,2.989
1.448,2.995
1.457,3.002
1.465,3.009
1.473,3.016
1.481,3.023
1.489,3.029
1.497,3.036
1.505,3.043
1.513,3.050
1.521,3.057
1.529,3.063
1.538,3.070
1.546,3.077
1.554,3.084
1.562,3.091
1.570,3.097
1.578,3.104
1.586,3.111
1.594,3.118
1.602,3.124
1.610,3.131
1.619,3.138
1.627,3.145
1.635,3.152
1.643,3.158
1.651,3.165
1.659,3.172
1.667,3.179
1.675,3.186
1.683,3.192
1.691,3.199
1.700,3.206
1.708,3.213
1.716,3.220
1.724,3.226
1.732,3.233
1.740,3.240
1.748,3.247
1.756,3.253
1.764,3.260
1.772,3.267
1.781,3.274
1.789,3.281
1.797,3.287
1.805,3.294
1.813,3.301
1.821,3.308
1.829,3.315
1.837,3.321
1.845,3.328
1.853,3.335
1.862,3.342
1.870,3.349
1.878,3.355
1.886,3.362
1.894,3.369
1.902,3.376
1.910,3.382
1.918,3.389
1.926,3.396
1.934,3.403
1.943,3.410
1.951,3.416
1.959,3.423
1.967,3.430
1.975,3.437
