i_e_op,V_cell_op,,,,,,,,,,,,,,,
0.00001,1.500569425,,,,,,,,,,,,,,,
0.00001,1.500578824,,,,,,,,,,,,,,,
0.00001,1.500588223,,,,,,,,,,,,,,,
0.00001,1.500597622,,,,,,,,,,,,,,,
0.00001,1.500607021,,,,,,,,,,,,,,,
0.00001,1.50061642,,,,,,,,,,,,,,,
0.00001,1.500625819,,,,,,,,,,,,,,,
0.00001,1.500635218,,,,,,,,,,,,,,,
0.00001,1.500644617,,,,,,,,,,,,,,,
0.00001,1.500654016,,,,,,,,,,,,,,,
0.00001,1.500663414,,,,,,,,,,,,,,,
0.00001,1.500672813,,,,,,,,,,,,,,,
0.00001,1.500682212,,,,,,,,,,,,,,,
0.00001,1.500691611,,,,,,,,,,,,,,,
0.00001,1.50070101,,,,,,,,,,,,,,,
0.00001,1.500710409,,,,,,,,,,,,,,,
0.00001,1.500719808,,,,,,,,,,,,,,,
0.00001,1.500729207,,,,,,,,,,,,,,,
0.00001,1.500738606,,,,,,,,,,,,,,,
0.00001,1.500748005,,,,,,,,,,,,,,,
0.00001,1.500757404,,,,,,,,,,,,,,,
0.00001,1.500766803,,,,,,,,,,,,,,,
0.00001,1.500776202,,,,,,,,,,,,,,,
0.00001,1.500785601,,,,,,,,,,,,,,,
0.00001,1.500795,,,,,,,,,,,,,,,
0.00001,1.500804399,,,,,,,,,,,,,,,
0.00001,1.500813798,,,,,,,,,,,,,,,
0.00001,1.500823197,,,,,,,,,,,,,,,
0.00001,1.500832596,,,,,,,,,,,,,,,
0.00001,1.500841995,,,,,,,,,,,,,,,
0.00001,1.500851394,,,,,,,,,,,,,,,
0.00001,1.500860793,,,,,,,,,,,,,,,
0.00001,1.500870193,,,,,,,,,,,,,,,
0.00001,1.500879592,,,,,,,,,,,,,,,
0.00001,1.500888991,,,,,,,,,,,,,,,
0.00001,1.50089839,,,,,,,,,,,,,,,
0.00001,1.500907789,,,,,,,,,,,,,,,
0.000011,1.500917188,,,,,,,,,,,,,,,
0.000011,1.500926587,,,,,,,,,,,,,,,
0.000011,1.500935986,,,,,,,,,,,,,,,
0.000011,1.500945385,,,,,,,,,,,,,,,
0.000011,1.500954784,,,,,,,,,,,,,,,
0.000011,1.500964183,,,,,,,,,,,,,,,
0.000011,1.500973582,,,,,,,,,,,,,,,
0.000011,1.500982981,,,,,,,,,,,,,,,
0.000011,1.50099238,,,,,,,,,,,,,,,
0.000011,1.501001779,,,,,,,,,,,,,,,
0.000011,1.501011178,,,,,,,,,,,,,,,
0.000011,1.501020577,,,,,,,,,,,,,,,
0.000011,1.501029976,,,,,,,,,,,,,,,
0.000011,1.501039376,,,,,,,,,,,,,,,
0.000011,1.501048775,,,,,,,,,,,,,,,
0.000011,1.501058174,,,,,,,,,,,,,,,
0.000011,1.501067573,,,,,,,,,,,,,,,
0.000011,1.501076972,,,,,,,,,,,,,,,
0.000011,1.501086371,,,,,,,,,,,,,,,
0.000011,1.50109577,,,,,,,,,,,,,,,
0.000011,1.501105169,,,,,,,,,,,,,,,
0.000011,1.501114568,,,,,,,,,,,,,,,
0.000011,1.501123967,,,,,,,,,,,,,,,
0.000011,1.501133366,,,,,,,,,,,,,,,
0.000011,1.501142766,,,,,,,,,,,,,,,
0.000011,1.501152165,,,,,,,,,,,,,,,
0.000011,1.501161564,,,,,,,,,,,,,,,
0.000011,1.501170963,,,,,,,,,,,,,,,
0.000011,1.501180362,,,,,,,,,,,,,,,
0.000011,1.501189761,,,,,,,,,,,,,,,
0.000011,1.50119916,,,,,,,,,,,,,,,
0.000011,1.501208559,,,,,,,,,,,,,,,
0.000011,1.501217959,,,,,,,,,,,,,,,
0.000011,1.501227358,,,,,,,,,,,,,,,
0.000011,1.501236757,,,,,,,,,,,,,,,
0.000011,1.501246156,,,,,,,,,,,,,,,
0.000011,1.501255555,,,,,,,,,,,,,,,
0.000011,1.501264954,,,,,,,,,,,,,,,
0.000011,1.501274353,,,,,,,,,,,,,,,
0.000011,1.501283753,,,,,,,,,,,,,,,
0.000011,1.501293152,,,,,,,,,,,,,,,
0.000011,1.501302551,,,,,,,,,,,,,,,
0.000011,1.50131195,,,,,,,,,,,,,,,
0.000011,1.501321349,,,,,,,,,,,,,,,
0.000011,1.501330748,,,,,,,,,,,,,,,
0.000011,1.501340148,,,,,,,,,,,,,,,
0.000011,1.501349547,,,,,,,,,,,,,,,
0.000011,1.501358946,,,,,,,,,,,,,,,
0.000011,1.501368345,,,,,,,,,,,,,,,
0.000011,1.501377744,,,,,,,,,,,,,,,
0.000011,1.501387144,,,,,,,,,,,,,,,
0.000011,1.501396543,,,,,,,,,,,,,,,
0.000011,1.501405942,,,,,,,,,,,,,,,
0.000011,1.501415341,,,,,,,,,,,,,,,
0.000011,1.50142474,,,,,,,,,,,,,,,
0.000011,1.50143414,,,,,,,,,,,,,,,
0.000011,1.501443539,,,,,,,,,,,,,,,
0.000011,1.501452938,,,,,,,,,,,,,,,
0.000011,1.501462337,,,,,,,,,,,,,,,
0.000011,1.501471736,,,,,,,,,,,,,,,
0.000011,1.501481136,,,,,,,,,,,,,,,
0.000011,1.501490535,,,,,,,,,,,,,,,
0.000011,1.501499934,,,,,,,,,,,,,,,
0.000011,1.501509333,,,,,,,,,,,,,,,
0.000011,1.501518732,,,,,,,,,,,,,,,
0.000011,1.501528132,,,,,,,,,,,,,,,
0.000011,1.501537531,,,,,,,,,,,,,,,
0.000011,1.50154693,,,,,,,,,,,,,,,
0.000012,1.501556329,,,,,,,,,,,,,,,
0.000012,1.501565729,,,,,,,,,,,,,,,
0.000012,1.501575128,,,,,,,,,,,,,,,
0.000012,1.501584527,,,,,,,,,,,,,,,
0.000012,1.501593926,,,,,,,,,,,,,,,
0.000012,1.501603326,,,,,,,,,,,,,,,
0.000012,1.501612725,,,,,,,,,,,,,,,
0.000012,1.501622124,,,,,,,,,,,,,,,
0.000012,1.501631523,,,,,,,,,,,,,,,
0.000012,1.501640923,,,,,,,,,,,,,,,
0.000012,1.501650322,,,,,,,,,,,,,,,
0.000012,1.501659721,,,,,,,,,,,,,,,
0.000012,1.501669121,,,,,,,,,,,,,,,
0.000012,1.50167852,,,,,,,,,,,,,,,
0.000012,1.501687919,,,,,,,,,,,,,,,
0.000012,1.501697318,,,,,,,,,,,,,,,
0.000012,1.501706718,,,,,,,,,,,,,,,
0.000012,1.501716117,,,,,,,,,,,,,,,
0.000012,1.501725516,,,,,,,,,,,,,,,
0.000012,1.501734916,,,,,,,,,,,,,,,
0.000012,1.501744315,,,,,,,,,,,,,,,
0.000012,1.501753714,,,,,,,,,,,,,,,
0.000012,1.501763114,,,,,,,,,,,,,,,
0.000012,1.501772513,,,,,,,,,,,,,,,
0.000012,1.501781912,,,,,,,,,,,,,,,
0.000012,1.501791312,,,,,,,,,,,,,,,
0.000012,1.501800711,,,,,,,,,,,,,,,
0.000012,1.50181011,,,,,,,,,,,,,,,
0.000012,1.50181951,,,,,,,,,,,,,,,
0.000012,1.501828909,,,,,,,,,,,,,,,
0.000012,1.501838308,,,,,,,,,,,,,,,
0.000012,1.501847708,,,,,,,,,,,,,,,
0.000012,1.501857107,,,,,,,,,,,,,,,
0.000012,1.501866506,,,,,,,,,,,,,,,
0.000012,1.501875906,,,,,,,,,,,,,,,
0.000012,1.501885305,,,,,,,,,,,,,,,
0.000012,1.501894704,,,,,,,,,,,,,,,
0.000012,1.501904104,,,,,,,,,,,,,,,
0.000012,1.501913503,,,,,,,,,,,,,,,
0.000012,1.501922902,,,,,,,,,,,,,,,
0.000012,1.501932302,,,,,,,,,,,,,,,
0.000012,1.501941701,,,,,,,,,,,,,,,
0.000012,1.5019511,,,,,,,,,,,,,,,
0.000012,1.5019605,,,,,,,,,,,,,,,
0.000012,1.501969899,,,,,,,,,,,,,,,
0.000012,1.501979299,,,,,,,,,,,,,,,
0.000012,1.501988698,,,,,,,,,,,,,,,
0.000012,1.501998097,,,,,,,,,,,,,,,
0.000012,1.502007497,,,,,,,,,,,,,,,
0.000012,1.502016896,,,,,,,,,,,,,,,
0.000012,1.502026296,,,,,,,,,,,,,,,
0.000012,1.502035695,,,,,,,,,,,,,,,
0.000012,1.502045094,,,,,,,,,,,,,,,
0.000012,1.502054494,,,,,,,,,,,,,,,
0.000012,1.502063893,,,,,,,,,,,,,,,
0.000012,1.502073293,,,,,,,,,,,,,,,
0.000012,1.502082692,,,,,,,,,,,,,,,
0.000012,1.502092092,,,,,,,,,,,,,,,
0.000012,1.502101491,,,,,,,,,,,,,,,
0.000012,1.50211089,,,,,,,,,,,,,,,
0.000012,1.50212029,,,,,,,,,,,,,,,
0.000012,1.502129689,,,,,,,,,,,,,,,
0.000012,1.502139089,,,,,,,,,,,,,,,
0.000013,1.502148488,,,,,,,,,,,,,,,
0.000013,1.502157888,,,,,,,,,,,,,,,
0.000013,1.502167287,,,,,,,,,,,,,,,
0.000013,1.502176686,,,,,,,,,,,,,,,
0.000013,1.502186086,,,,,,,,,,,,,,,
