i_e_op,V_cell_op
1.00E-05,1.500568342
1.00E-05,1.500577739
1.00E-05,1.500587137
1.00E-05,1.500596534
1.01E-05,1.500605932
1.01E-05,1.500615329
1.01E-05,1.500624727
1.01E-05,1.500634124
1.01E-05,1.500643522
1.01E-05,1.500652919
1.01E-05,1.500662317
1.01E-05,1.500671714
1.02E-05,1.500681112
1.02E-05,1.500690509
1.02E-05,1.500699907
1.02E-05,1.500709304
1.02E-05,1.500718702
1.02E-05,1.500728099
1.02E-05,1.500737497
1.03E-05,1.500746894
1.03E-05,1.500756292
1.03E-05,1.500765689
1.03E-05,1.500775087
1.03E-05,1.500784484
1.03E-05,1.500793882
1.03E-05,1.500803279
1.04E-05,1.500812677
1.04E-05,1.500822074
1.04E-05,1.500831472
1.04E-05,1.500840869
1.04E-05,1.500850267
1.04E-05,1.500859664
1.04E-05,1.500869062
1.05E-05,1.500878459
1.05E-05,1.500887857
1.05E-05,1.500897254
1.05E-05,1.500906652
1.05E-05,1.500916049
1.05E-05,1.500925447
1.05E-05,1.500934845
1.05E-05,1.500944242
1.06E-05,1.50095364
1.06E-05,1.500963037
1.06E-05,1.500972435
1.06E-05,1.500981832
1.06E-05,1.50099123
1.06E-05,1.501000627
1.06E-05,1.501010025
1.07E-05,1.501019422
1.07E-05,1.50102882
1.07E-05,1.501038217
1.07E-05,1.501047615
1.07E-05,1.501057012
1.07E-05,1.50106641
1.07E-05,1.501075808
1.08E-05,1.501085205
1.08E-05,1.501094603
1.08E-05,1.501104
1.08E-05,1.501113398
1.08E-05,1.501122795
1.08E-05,1.501132193
1.08E-05,1.50114159
1.09E-05,1.501150988
1.09E-05,1.501160385
1.09E-05,1.501169783
1.09E-05,1.50117918
1.09E-05,1.501188578
1.09E-05,1.501197976
1.10E-05,1.501207373
1.10E-05,1.501216771
1.10E-05,1.501226168
1.10E-05,1.501235566
1.10E-05,1.501244963
1.10E-05,1.501254361
1.10E-05,1.501263758
1.11E-05,1.501273156
1.11E-05,1.501282554
1.11E-05,1.501291951
1.11E-05,1.501301349
1.11E-05,1.501310746
1.11E-05,1.501320144
1.11E-05,1.501329541
1.12E-05,1.501338939
1.12E-05,1.501348336
1.12E-05,1.501357734
1.12E-05,1.501367132
1.12E-05,1.501376529
1.12E-05,1.501385927
1.12E-05,1.501395324
1.13E-05,1.501404722
1.13E-05,1.501414119
1.13E-05,1.501423517
1.13E-05,1.501432915
1.13E-05,1.501442312
1.13E-05,1.50145171
1.14E-05,1.501461107
1.14E-05,1.501470505
1.14E-05,1.501479902
1.14E-05,1.5014893
1.14E-05,1.501498698
1.14E-05,1.501508095
1.14E-05,1.501517493
1.15E-05,1.50152689
1.15E-05,1.501536288
1.15E-05,1.501545685
1.15E-05,1.501555083
1.15E-05,1.501564481
1.15E-05,1.501573878
1.16E-05,1.501583276
1.16E-05,1.501592673
1.16E-05,1.501602071
1.16E-05,1.501611468
1.16E-05,1.501620866
1.16E-05,1.501630264
1.16E-05,1.501639661
1.17E-05,1.501649059
1.17E-05,1.501658456
1.17E-05,1.501667854
1.17E-05,1.501677252
1.17E-05,1.501686649
1.17E-05,1.501696047
1.18E-05,1.501705444
1.18E-05,1.501714842
1.18E-05,1.50172424
1.18E-05,1.501733637
1.18E-05,1.501743035
1.18E-05,1.501752432
1.18E-05,1.50176183
1.19E-05,1.501771228
1.19E-05,1.501780625
1.19E-05,1.501790023
1.19E-05,1.50179942
1.19E-05,1.501808818
1.19E-05,1.501818216
1.20E-05,1.501827613
1.20E-05,1.501837011
1.20E-05,1.501846408
1.20E-05,1.501855806
1.20E-05,1.501865204
1.20E-05,1.501874601
1.21E-05,1.501883999
1.21E-05,1.501893396
1.21E-05,1.501902794
1.21E-05,1.501912192
1.21E-05,1.501921589
1.21E-05,1.501930987
1.22E-05,1.501940385
1.22E-05,1.501949782
1.22E-05,1.50195918
1.22E-05,1.501968577
1.22E-05,1.501977975
1.22E-05,1.501987373
1.23E-05,1.50199677
1.23E-05,1.502006168
1.23E-05,1.502015565
1.23E-05,1.502024963
1.23E-05,1.502034361
1.23E-05,1.502043758
1.23E-05,1.502053156
1.24E-05,1.502062554
1.24E-05,1.502071951
1.24E-05,1.502081349
1.24E-05,1.502090746
1.24E-05,1.502100144
1.24E-05,1.502109542
1.25E-05,1.502118939
1.25E-05,1.502128337
1.25E-05,1.502137735
1.25E-05,1.502147132
1.25E-05,1.50215653
1.25E-05,1.502165928
1.26E-05,1.502175325
1.26E-05,1.502184723
1.26E-05,1.50219412
1.26E-05,1.502203518
1.26E-05,1.502212916
1.26E-05,1.502222313
1.27E-05,1.502231711
1.27E-05,1.502241109
1.27E-05,1.502250506
1.27E-05,1.502259904
1.27E-05,1.502269302
1.28E-05,1.502278699
1.28E-05,1.502288097
1.28E-05,1.502297495
1.28E-05,1.502306892
1.28E-05,1.50231629
1.28E-05,1.502325688
1.29E-05,1.502335085
1.29E-05,1.502344483
1.29E-05,1.502353881
1.29E-05,1.502363278
1.29E-05,1.502372676
1.29E-05,1.502382073
1.30E-05,1.502391471
1.30E-05,1.502400869
1.30E-05,1.502410266
1.30E-05,1.502419664
1.30E-05,1.502429062
1.30E-05,1.502438459
1.31E-05,1.502447857
1.31E-05,1.502457255
1.31E-05,1.502466652
1.31E-05,1.50247605
1.31E-05,1.502485448
1.31E-05,1.502494845
1.32E-05,1.502504243
1.32E-05,1.502513641
1.32E-05,1.502523038
1.32E-05,1.502532436
1.32E-05,1.502541834
1.33E-05,1.502551232
1.33E-05,1.502560629
1.33E-05,1.502570027
1.33E-05,1.502579425
1.33E-05,1.502588822
1.33E-05,1.50259822
1.34E-05,1.502607618
1.34E-05,1.502617015
1.34E-05,1.502626413
1.34E-05,1.502635811
1.34E-05,1.502645208
1.35E-05,1.502654606
1.35E-05,1.502664004
1.35E-05,1.502673401
1.35E-05,1.502682799
1.35E-05,1.502692197
1.35E-05,1.502701594
1.36E-05,1.502710992
1.36E-05,1.50272039
1.36E-05,1.502729788
1.36E-05,1.502739185
1.36E-05,1.502748583
1.37E-05,1.502757981
1.37E-05,1.502767378
1.37E-05,1.502776776
1.37E-05,1.502786174
1.37E-05,1.502795571
1.37E-05,1.502804969
1.38E-05,1.502814367
1.38E-05,1.502823765
1.38E-05,1.502833162
1.38E-05,1.50284256
1.38E-05,1.502851958
1.39E-05,1.502861355
1.39E-05,1.502870753
1.39E-05,1.502880151
1.39E-05,1.502889549
1.39E-05,1.502898946
1.39E-05,1.502908344
1.40E-05,1.502917742
1.40E-05,1.502927139
1.40E-05,1.502936537
1.40E-05,1.502945935
1.40E-05,1.502955333
1.41E-05,1.50296473
1.41E-05,1.502974128
1.41E-05,1.502983526
1.41E-05,1.502992923
1.41E-05,1.503002321
1.42E-05,1.503011719
1.42E-05,1.503021117
1.42E-05,1.503030514
1.42E-05,1.503039912
1.42E-05,1.50304931
1.42E-05,1.503058708
1.43E-05,1.503068105
1.43E-05,1.503077503
1.43E-05,1.503086901
1.43E-05,1.503096299
1.43E-05,1.503105696
1.44E-05,1.503115094
1.44E-05,1.503124492
1.44E-05,1.503133889
1.44E-05,1.503143287
1.44E-05,1.503152685
1.45E-05,1.503162083
1.45E-05,1.50317148
1.45E-05,1.503180878
1.45E-05,1.503190276
1.45E-05,1.503199674
1.46E-05,1.503209071
1.46E-05,1.503218469
1.46E-05,1.503227867
1.46E-05,1.503237265
1.46E-05,1.503246662
1.47E-05,1.50325606
1.47E-05,1.503265458
1.47E-05,1.503274856
1.47E-05,1.503284253
1.47E-05,1.503293651
1.48E-05,1.503303049
1.48E-05,1.503312447
1.48E-05,1.503321844
1.48E-05,1.503331242
1.48E-05,1.50334064
1.48E-05,1.503350038
1.49E-05,1.503359436
1.49E-05,1.503368833
1.49E-05,1.503378231
1.49E-05,1.503387629
1.49E-05,1.503397027
1.50E-05,1.503406424
1.50E-05,1.503415822
1.50E-05,1.50342522
1.50E-05,1.503434618
1.50E-05,1.503444016
1.51E-05,1.503453413
1.51E-05,1.503462811
1.51E-05,1.503472209
1.51E-05,1.503481607
1.51E-05,1.503491004
1.52E-05,1.503500402
1.52E-05,1.5035098
1.52E-05,1.503519198
1.52E-05,1.503528596
1.53E-05,1.503537993
1.53E-05,1.503547391
1.53E-05,1.503556789
1.53E-05,1.503566187
1.53E-05,1.503575584
1.54E-05,1.503584982
1.54E-05,1.50359438
1.54E-05,1.503603778
1.54E-05,1.503613176
1.54E-05,1.503622573
1.55E-05,1.503631971
1.55E-05,1.503641369
1.55E-05,1.503650767
1.55E-05,1.503660165
1.55E-05,1.503669562
1.56E-05,1.50367896
1.56E-05,1.503688358
1.56E-05,1.503697756
1.56E-05,1.503707154
1.56E-05,1.503716552
1.57E-05,1.503725949
1.57E-05,1.503735347
1.57E-05,1.503744745
1.57E-05,1.503754143
1.57E-05,1.503763541
1.58E-05,1.503772938
1.58E-05,1.503782336
1.58E-05,1.503791734
1.58E-05,1.503801132
1.59E-05,1.50381053
1.59E-05,1.503819928
