i_e_op,V_cell_op
1.00E-05,1.500570042
1.00E-05,1.500579441
1.00E-05,1.500588841
1.00E-05,1.500598241
1.01E-05,1.500607641
1.01E-05,1.50061704
1.01E-05,1.50062644
1.01E-05,1.50063584
1.01E-05,1.50064524
1.01E-05,1.50065464
1.01E-05,1.500664039
1.01E-05,1.500673439
1.02E-05,1.500682839
1.02E-05,1.500692239
1.02E-05,1.500701639
1.02E-05,1.500711039
1.02E-05,1.500720438
1.02E-05,1.500729838
1.02E-05,1.500739238
1.03E-05,1.500748638
1.03E-05,1.500758038
1.03E-05,1.500767438
1.03E-05,1.500776837
1.03E-05,1.500786237
1.03E-05,1.500795637
1.03E-05,1.500805037
1.04E-05,1.500814437
1.04E-05,1.500823837
1.04E-05,1.500833237
1.04E-05,1.500842636
1.04E-05,1.500852036
1.04E-05,1.500861436
1.04E-05,1.500870836
1.05E-05,1.500880236
1.05E-05,1.500889636
1.05E-05,1.500899036
1.05E-05,1.500908436
1.05E-05,1.500917836
1.05E-05,1.500927236
1.05E-05,1.500936635
1.05E-05,1.500946035
1.06E-05,1.500955435
1.06E-05,1.500964835
1.06E-05,1.500974235
1.06E-05,1.500983635
1.06E-05,1.500993035
1.06E-05,1.501002435
1.06E-05,1.501011835
1.07E-05,1.501021235
1.07E-05,1.501030635
1.07E-05,1.501040035
1.07E-05,1.501049435
1.07E-05,1.501058835
1.07E-05,1.501068235
1.07E-05,1.501077635
1.08E-05,1.501087035
1.08E-05,1.501096435
1.08E-05,1.501105835
1.08E-05,1.501115235
1.08E-05,1.501124635
1.08E-05,1.501134035
1.08E-05,1.501143435
1.09E-05,1.501152835
1.09E-05,1.501162235
1.09E-05,1.501171635
1.09E-05,1.501181035
1.09E-05,1.501190435
1.09E-05,1.501199835
1.10E-05,1.501209235
1.10E-05,1.501218635
1.10E-05,1.501228035
1.10E-05,1.501237435
1.10E-05,1.501246835
1.10E-05,1.501256235
1.10E-05,1.501265635
1.11E-05,1.501275035
1.11E-05,1.501284435
1.11E-05,1.501293835
1.11E-05,1.501303235
1.11E-05,1.501312635
1.11E-05,1.501322035
1.11E-05,1.501331436
1.12E-05,1.501340836
1.12E-05,1.501350236
1.12E-05,1.501359636
1.12E-05,1.501369036
1.12E-05,1.501378436
1.12E-05,1.501387836
1.12E-05,1.501397236
1.13E-05,1.501406636
1.13E-05,1.501416037
1.13E-05,1.501425437
1.13E-05,1.501434837
1.13E-05,1.501444237
1.13E-05,1.501453637
1.14E-05,1.501463037
1.14E-05,1.501472437
1.14E-05,1.501481838
1.14E-05,1.501491238
1.14E-05,1.501500638
1.14E-05,1.501510038
