i_e_max,v_e_max
0.1,1.580371985
0.2,1.600253149
0.3,1.618138819
0.4,1.635139857
0.5,1.651706333
0.6,1.668055918
0.7,1.684091146
0.8,1.700039039
0.9,1.71583742
1,1.731604091
1.1,1.747425358
1.2,1.763017275
1.3,1.778613049
1.4,1.794008469
1.5,1.809605742
1.6,1.82496595
1.7,1.840611608
1.8,1.855737168
1.9,1.871322079
2,1.886529544
2.1,1.902079397
2.2,1.9174969
2.3,1.932694188
2.4,1.948071321
2.5,1.963084751
2.6,1.978700444
2.7,1.993840171
2.8,2.008975831
2.9,2.024067162
3,2.039683134
3.1,2.054579557
3.2,2.069953878
3.3,2.085150444
3.4,2.100814345
3.5,2.115536666
3.6,2.130672156
3.7,2.146232567
3.8,2.161458112
3.9,2.176299295
4,2.191517333
4.1,2.207121913
4.2,2.22227076
4.3,2.236912539
4.4,2.25277827
4.5,2.267201497
4.6,2.282864127
4.7,2.297930513
4.8,2.313319087
4.9,2.328044674
5,2.343065403
5.1,2.358387247
5.2,2.3740163
5.3,2.388886069
5.4,2.404034018
5.5,2.419465399
5.6,2.434052999
5.7,2.448893958
5.8,2.463992716
5.9,2.479353786
6,2.494981763
